Sr. No.,Year ,Location,Row,Range,Rep,UniqueID,HSF,Accn,OriginalAccn,Ecotype,Yield,Notes,Whole Harvest
71,2022,Athens,Row2,Range31,Rep1,A-2-8-7,Fam_18,FID_71,J229.A,Lowland,162,,
72,2022,Athens,Row2,Range32,Rep1,A-2-8-4,Fam_18,FID_72,J229.A,Lowland,892,,
73,2022,Athens,Row2,Range33,Rep1,A-2-9-5,Fam_19,FID_73,J249.C,Lowland,1264,,
74,2022,Athens,Row2,Range34,Rep1,A-2-9-6,Fam_19,FID_74,J249.C,Lowland,388,,
75,2022,Athens,Row2,Range35,Rep1,A-2-9-3,Fam_19,FID_75,J249.C,Lowland,477,,
76,2022,Athens,Row2,Range36,Rep1,A-2-9-4,Fam_19,FID_76,J249.C,Lowland,2142,,
77,2022,Athens,Row2,Range37,Rep1,A-2-10-1,Fam_20,FID_77,J514.A,Lowland,720,,
78,2022,Athens,Row2,Range38,Rep1,A-2-10-2,Fam_20,FID_78,J514.A,Lowland,1487,,
79,2022,Athens,Row2,Range39,Rep1,A-2-10-3,Fam_20,FID_79,J514.A,Lowland,1608,,
80,2022,Athens,Row2,Range40,Rep1,A-2-10-4,Fam_20,FID_80,J514.A,Lowland,1202,,
81,2022,Athens,Row3,Range1,Rep1,A-3-1-1,Fam_21,FID_81,J324.A,Lowland,1869,,
82,2022,Athens,Row3,Range2,Rep1,A-3-1-2,Fam_21,FID_82,J324.A,Lowland,939,,
83,2022,Athens,Row3,Range3,Rep1,A-3-1-3,Fam_21,FID_83,J324.A,Lowland,945,,
84,2022,Athens,Row3,Range4,Rep1,A-3-1-4,Fam_21,FID_84,J324.A,Lowland,1362,,
85,2022,Athens,Row3,Range5,Rep1,A-3-2-1,Fam_22,FID_85,J219.A,Lowland,1297,,
86,2022,Athens,Row3,Range6,Rep1,A-3-2-2,Fam_22,FID_86,J219.A,Lowland,894,,
87,2022,Athens,Row3,Range7,Rep1,A-3-2-3,Fam_22,FID_87,J219.A,Lowland,2099,,
88,2022,Athens,Row3,Range8,Rep1,A-3-2-4,Fam_22,FID_88,J219.A,Lowland,1603,,
89,2022,Athens,Row3,Range9,Rep1,A-3-3-1,Fam_23,FID_89,J594.A,Lowland,1032,,
90,2022,Athens,Row3,Range10,Rep1,A-3-3-2,Fam_23,FID_90,J594.A,Lowland,944,,
91,2022,Athens,Row3,Range11,Rep1,A-3-3-3,Fam_23,FID_91,J594.A,Lowland,1041,,
92,2022,Athens,Row3,Range12,Rep1,A-3-3-4,Fam_23,FID_92,J594.A,Lowland,360,,
93,2022,Athens,Row3,Range13,Rep1,A-3-4-1,Fam_24,FID_93,B6,Coastal,1558,,
94,2022,Athens,Row3,Range14,Rep1,A-3-4-2,Fam_24,FID_94,B6,Coastal,830,,
95,2022,Athens,Row3,Range15,Rep1,A-3-4-3,Fam_24,FID_95,B6,Coastal,1043,,
96,2022,Athens,Row3,Range16,Rep1,A-3-4-4,Fam_24,FID_96,B6,Coastal,1562,,
97,2022,Athens,Row3,Range17,Rep1,A-3-5-1,Fam_25,FID_97,J215.A,Lowland,635,,
98,2022,Athens,Row3,Range18,Rep1,A-3-5-2,Fam_25,FID_98,J215.A,Lowland,1058,,
99,2022,Athens,Row3,Range19,Rep1,A-3-5-3,Fam_25,FID_99,J215.A,Lowland,1209,,
100,2022,Athens,Row3,Range20,Rep1,A-3-5-4,Fam_25,FID_100,J215.A,Lowland,2206,,
101,2022,Athens,Row3,Range21,Rep1,A-3-6-1,Fam_26,FID_101,J499.A,Coastal,861,,
102,2022,Athens,Row3,Range22,Rep1,A-3-6-2,Fam_26,FID_102,J499.A,Coastal,1090,,
103,2022,Athens,Row3,Range23,Rep1,A-3-6-7,Fam_26,FID_103,J499.A,Coastal,1058,,
104,2022,Athens,Row3,Range24,Rep1,A-3-6-4,Fam_26,FID_104,J499.A,Coastal,425,,
105,2022,Athens,Row3,Range25,Rep1,A-3-7-1,Fam_27,FID_105,J219.A,Lowland,238,,
106,2022,Athens,Row3,Range26,Rep1,A-3-7-2,Fam_27,FID_106,J219.A,Lowland,1615,,
107,2022,Athens,Row3,Range27,Rep1,A-3-7-3,Fam_27,FID_107,J219.A,Lowland,818,,
108,2022,Athens,Row3,Range28,Rep1,A-3-7-4,Fam_27,FID_108,J219.A,Lowland,1064,,
109,2022,Athens,Row3,Range29,Rep1,A-3-8-1,Fam_28,FID_109,J308.A,Lowland,304,,
110,2022,Athens,Row3,Range30,Rep1,A-3-8-2,Fam_28,FID_110,J308.A,Lowland,971,,
111,2022,Athens,Row3,Range31,Rep1,A-3-8-3,Fam_28,FID_111,J308.A,Lowland,729,,
112,2022,Athens,Row3,Range32,Rep1,A-3-8-8,Fam_28,FID_112,J308.A,Lowland,246,,
113,2022,Athens,Row3,Range33,Rep1,A-3-9-1,Fam_29,FID_113,TCL-7,Unknown,596,,
114,2022,Athens,Row3,Range34,Rep1,A-3-9-2,Fam_29,FID_114,TCL-7,Unknown,416,,
115,2022,Athens,Row3,Range35,Rep1,A-3-9-3,Fam_29,FID_115,TCL-7,Unknown,389,,
116,2022,Athens,Row3,Range36,Rep1,A-3-9-4,Fam_29,FID_116,TCL-7,Unknown,,Dead,
117,2022,Athens,Row3,Range37,Rep1,A-3-10-1,Fam_30,FID_117,J320.A,Lowland,1256,,
118,2022,Athens,Row3,Range38,Rep1,A-3-10-2,Fam_30,FID_118,J320.A,Lowland,1163,,
119,2022,Athens,Row3,Range39,Rep1,A-3-10-3,Fam_30,FID_119,J320.A,Lowland,1436,,
120,2022,Athens,Row3,Range40,Rep1,A-3-10-4,Fam_30,FID_120,J320.A,Lowland,1896,,
121,2022,Athens,Row4,Range1,Rep1,A-4-1-5,Fam_31,FID_121,J004.B,Lowland,1403,,
122,2022,Athens,Row4,Range2,Rep1,A-4-1-2,Fam_31,FID_122,J004.B,Lowland,741,,
123,2022,Athens,Row4,Range3,Rep1,A-4-1-3,Fam_31,FID_123,J004.B,Lowland,2189,,
124,2022,Athens,Row4,Range4,Rep1,A-4-1-4,Fam_31,FID_124,J004.B,Lowland,1309,,
125,2022,Athens,Row4,Range5,Rep1,A-4-2-1,Fam_32,FID_125,J229.A,Lowland,1354,,
126,2022,Athens,Row4,Range6,Rep1,A-4-2-2,Fam_32,FID_126,J229.A,Lowland,329,,
127,2022,Athens,Row4,Range7,Rep1,A-4-2-3,Fam_32,FID_127,J229.A,Lowland,711,,
128,2022,Athens,Row4,Range8,Rep1,A-4-2-4,Fam_32,FID_128,J229.A,Lowland,428,,
129,2022,Athens,Row4,Range9,Rep1,A-4-3-1,Fam_33,FID_129,Rambo4,Unknown,440,,
130,2022,Athens,Row4,Range10,Rep1,A-4-3-2,Fam_33,FID_130,Rambo4,Unknown,1599,,
131,2022,Athens,Row4,Range11,Rep1,A-4-3-3,Fam_33,FID_131,Rambo4,Unknown,718,,
132,2022,Athens,Row4,Range12,Rep1,A-4-3-4,Fam_33,FID_132,Rambo4,Unknown,1171,,
133,2022,Athens,Row4,Range13,Rep1,A-4-4-1,Fam_34,FID_133,J308.A,Lowland,467,,
134,2022,Athens,Row4,Range14,Rep1,A-4-4-2,Fam_34,FID_134,J308.A,Lowland,470,,
135,2022,Athens,Row4,Range15,Rep1,A-4-4-3,Fam_34,FID_135,J308.A,Lowland,993,,
136,2022,Athens,Row4,Range16,Rep1,A-4-4-4,Fam_34,FID_136,J308.A,Lowland,435,,
137,2022,Athens,Row4,Range17,Rep1,A-4-5-1,Fam_35,FID_137,J003.E,Lowland,307,,
138,2022,Athens,Row4,Range18,Rep1,A-4-5-6,Fam_35,FID_138,J003.E,Lowland,741,,
139,2022,Athens,Row4,Range19,Rep1,A-4-5-3,Fam_35,FID_139,J003.E,Lowland,668,,
140,2022,Athens,Row4,Range20,Rep1,A-4-5-4,Fam_35,FID_140,J003.E,Lowland,983,,
141,2022,Athens,Row4,Range21,Rep1,A-4-6-1,Fam_36,FID_141,J317.A,Lowland,1968,,
142,2022,Athens,Row4,Range22,Rep1,A-4-6-2,Fam_36,FID_142,J317.A,Lowland,976,,
143,2022,Athens,Row4,Range23,Rep1,A-4-6-3,Fam_36,FID_143,J317.A,Lowland,1334,,
144,2022,Athens,Row4,Range24,Rep1,A-4-6-4,Fam_36,FID_144,J317.A,Lowland,1319,,
145,2022,Athens,Row4,Range25,Rep1,A-4-7-1,Fam_37,FID_145,J323.A,Lowland,861,,
146,2022,Athens,Row4,Range26,Rep1,A-4-7-2,Fam_37,FID_146,J323.A,Lowland,819,,
147,2022,Athens,Row4,Range27,Rep1,A-4-7-7,Fam_37,FID_147,J323.A,Lowland,1608,,
148,2022,Athens,Row4,Range28,Rep1,A-4-7-4,Fam_37,FID_148,J323.A,Lowland,2144,,
149,2022,Athens,Row4,Range29,Rep1,A-4-8-1,Fam_38,FID_149,J498.B,Coastal,1029,,
150,2022,Athens,Row4,Range30,Rep1,A-4-8-2,Fam_38,FID_150,J498.B,Coastal,1557,,
151,2022,Athens,Row4,Range31,Rep1,A-4-8-3,Fam_38,FID_151,J498.B,Coastal,1499,,
152,2022,Athens,Row4,Range32,Rep1,A-4-8-4,Fam_38,FID_152,J498.B,Coastal,94,,
153,2022,Athens,Row4,Range33,Rep1,A-4-9-1,Fam_39,FID_153,Rambo4,Unknown,1630,,
154,2022,Athens,Row4,Range34,Rep1,A-4-9-2,Fam_39,FID_154,Rambo4,Unknown,1724,,
155,2022,Athens,Row4,Range35,Rep1,A-4-9-3,Fam_39,FID_155,Rambo4,Unknown,756,,
156,2022,Athens,Row4,Range36,Rep1,A-4-9-4,Fam_39,FID_156,Rambo4,Unknown,1391,,
157,2022,Athens,Row4,Range37,Rep1,A-4-10-1,Fam_40,FID_157,J215.A,Lowland,1601,,
158,2022,Athens,Row4,Range38,Rep1,A-4-10-2,Fam_40,FID_158,J215.A,Lowland,1391,,
159,2022,Athens,Row4,Range39,Rep1,A-4-10-3,Fam_40,FID_159,J215.A,Lowland,1151,,
160,2022,Athens,Row4,Range40,Rep1,A-4-10-4,Fam_40,FID_160,J215.A,Lowland,426,,
161,2022,Athens,Row 5,Range1,Rep1,A-5-1-1,Fam_41,FID_161,J317.A,Lowland,2620,,
162,2022,Athens,Row 5,Range2,Rep1,A-5-1-2,Fam_41,FID_162,J317.A,Lowland,468,,
163,2022,Athens,Row 5,Range3,Rep1,A-5-1-3,Fam_41,FID_163,J317.A,Lowland,2277,,
164,2022,Athens,Row 5,Range4,Rep1,A-5-1-4,Fam_41,FID_164,J317.A,Lowland,1575,,
165,2022,Athens,Row 5,Range5,Rep1,A-5-2-1,Fam_42,FID_165,J499.A,Coastal,1534,,
166,2022,Athens,Row 5,Range6,Rep1,A-5-2-6,Fam_42,FID_166,J499.A,Coastal,621,,
167,2022,Athens,Row 5,Range7,Rep1,A-5-2-3,Fam_42,FID_167,J499.A,Coastal,3076,,
168,2022,Athens,Row 5,Range8,Rep1,A-5-2-4,Fam_42,FID_168,J499.A,Coastal,296,,
169,2022,Athens,Row 5,Range9,Rep1,A-5-3-1,Fam_43,FID_169,J009.C,Lowland,1394,,
170,2022,Athens,Row 5,Range10,Rep1,A-5-3-2,Fam_43,FID_170,J009.C,Lowland,756,,
171,2022,Athens,Row 5,Range11,Rep1,A-5-3-3,Fam_43,FID_171,J009.C,Lowland,1386,,
172,2022,Athens,Row 5,Range12,Rep1,A-5-3-4,Fam_43,FID_172,J009.C,Lowland,631,,
173,2022,Athens,Row 5,Range13,Rep1,A-5-4-5,Fam_44,FID_173,J484.A,Lowland,531,,
174,2022,Athens,Row 5,Range14,Rep1,A-5-4-2,Fam_44,FID_174,J484.A,Lowland,32,,
175,2022,Athens,Row 5,Range15,Rep1,A-5-4-3,Fam_44,FID_175,J484.A,Lowland,578,,
176,2022,Athens,Row 5,Range16,Rep1,A-5-4-4,Fam_44,FID_176,J484.A,Lowland,348,,
177,2022,Athens,Row 5,Range17,Rep1,A-5-5-1,Fam_45,FID_177,J322.A,Lowland,2010,,
178,2022,Athens,Row 5,Range18,Rep1,A-5-5-2,Fam_45,FID_178,J322.A,Lowland,752,,
179,2022,Athens,Row 5,Range19,Rep1,A-5-5-3,Fam_45,FID_179,J322.A,Lowland,1087,,
180,2022,Athens,Row 5,Range20,Rep1,A-5-5-4,Fam_45,FID_180,J322.A,Lowland,1441,,
181,2022,Athens,Row 5,Range21,Rep1,A-5-6-1,Fam_46,FID_181,J322.A,Lowland,395,,
182,2022,Athens,Row 5,Range22,Rep1,A-5-6-2,Fam_46,FID_182,J322.A,Lowland,965,,
183,2022,Athens,Row 5,Range23,Rep1,A-5-6-7,Fam_46,FID_183,J322.A,Lowland,1047,,
184,2022,Athens,Row 5,Range24,Rep1,A-5-6-4,Fam_46,FID_184,J322.A,Lowland,914,,
185,2022,Athens,Row 5,Range25,Rep1,A-5-7-1,Fam_47,FID_185,J003.E,Lowland,966,,
186,2022,Athens,Row 5,Range26,Rep1,A-5-7-2,Fam_47,FID_186,J003.E,Lowland,1254,,
187,2022,Athens,Row 5,Range27,Rep1,A-5-7-3,Fam_47,FID_187,J003.E,Lowland,886,,
188,2022,Athens,Row 5,Range28,Rep1,A-5-7-4,Fam_47,FID_188,J003.E,Lowland,1313,,
189,2022,Athens,Row 5,Range29,Rep1,A-5-8-1,Fam_48,FID_189,J004.B,Lowland,1019,,
190,2022,Athens,Row 5,Range30,Rep1,A-5-8-2,Fam_48,FID_190,J004.B,Lowland,724,,
191,2022,Athens,Row 5,Range31,Rep1,A-5-8-7,Fam_48,FID_191,J004.B,Lowland,707,,
192,2022,Athens,Row 5,Range32,Rep1,A-5-8-4,Fam_48,FID_192,J004.B,Lowland,678,,
193,2022,Athens,Row 5,Range33,Rep1,A-5-9-1,Fam_49,FID_193,J496.C,Lowland,2826,,
194,2022,Athens,Row 5,Range34,Rep1,A-5-9-2,Fam_49,FID_194,J496.C,Lowland,740,,
195,2022,Athens,Row 5,Range35,Rep1,A-5-9-3,Fam_49,FID_195,J496.C,Lowland,1173,,
196,2022,Athens,Row 5,Range36,Rep1,A-5-9-4,Fam_49,FID_196,J496.C,Lowland,2094,,
197,2022,Athens,Row 5,Range37,Rep1,A-5-10-1,Fam_50,FID_197,B6,Coastal,359,,
198,2022,Athens,Row 5,Range38,Rep1,A-5-10-2,Fam_50,FID_198,B6,Coastal,1808,,
199,2022,Athens,Row 5,Range39,Rep1,A-5-10-3,Fam_50,FID_199,B6,Coastal,1655,,
200,2022,Athens,Row 5,Range40,Rep1,A-5-10-4,Fam_50,FID_200,B6,Coastal,2039,,
201,2022,Athens,Row 6,Range1,Rep1,A-6-1-1,Fam_51,FID_201,J484.A,Lowland,887,,
202,2022,Athens,Row 6,Range2,Rep1,A-6-1-2,Fam_51,FID_202,J484.A,Lowland,488,,
203,2022,Athens,Row 6,Range3,Rep1,A-6-1-3,Fam_51,FID_203,J484.A,Lowland,592,,
204,2022,Athens,Row 6,Range4,Rep1,A-6-1-4,Fam_51,FID_204,J484.A,Lowland,2283,,
205,2022,Athens,Row 6,Range5,Rep1,A-6-2-1,Fam_52,FID_205,J230.A,Lowland,1664,,
206,2022,Athens,Row 6,Range6,Rep1,A-6-2-2,Fam_52,FID_206,J230.A,Lowland,1064,,
207,2022,Athens,Row 6,Range7,Rep1,A-6-2-3,Fam_52,FID_207,J230.A,Lowland,917,,
208,2022,Athens,Row 6,Range8,Rep1,A-6-2-4,Fam_52,FID_208,J230.A,Lowland,1234,,
209,2022,Athens,Row 6,Range9,Rep1,A-6-3-1,Fam_53,FID_209,J247.A,Lowland,844,,
210,2022,Athens,Row 6,Range10,Rep1,A-6-3-2,Fam_53,FID_210,J247.A,Lowland,842,,
211,2022,Athens,Row 6,Range11,Rep1,A-6-3-3,Fam_53,FID_211,J247.A,Lowland,732,,
212,2022,Athens,Row 6,Range12,Rep1,A-6-3-4,Fam_53,FID_212,J247.A,Lowland,1249,,
213,2022,Athens,Row 6,Range13,Rep1,A-6-4-1,Fam_54,FID_213,J229.A,Lowland,927,,
214,2022,Athens,Row 6,Range14,Rep1,A-6-4-2,Fam_54,FID_214,J229.A,Lowland,92,,
215,2022,Athens,Row 6,Range15,Rep1,A-6-4-3,Fam_54,FID_215,J229.A,Lowland,181,,
216,2022,Athens,Row 6,Range16,Rep1,A-6-4-4,Fam_54,FID_216,J229.A,Lowland,845,,
217,2022,Athens,Row 6,Range17,Rep1,A-6-5-1,Fam_55,FID_217,J499.A,Coastal,1598,,
218,2022,Athens,Row 6,Range18,Rep1,A-6-5-2,Fam_55,FID_218,J499.A,Coastal,1804,,
219,2022,Athens,Row 6,Range19,Rep1,A-6-5-3,Fam_55,FID_219,J499.A,Coastal,1482,,
220,2022,Athens,Row 6,Range20,Rep1,A-6-5-4,Fam_55,FID_220,J499.A,Coastal,420,,
221,2022,Athens,Row 6,Range21,Rep1,A-6-6-1,Fam_56,FID_221,J215.A,Lowland,1979,,
222,2022,Athens,Row 6,Range22,Rep1,A-6-6-2,Fam_56,FID_222,J215.A,Lowland,685,,
223,2022,Athens,Row 6,Range23,Rep1,A-6-6-3,Fam_56,FID_223,J215.A,Lowland,853,,
224,2022,Athens,Row 6,Range24,Rep1,A-6-6-4,Fam_56,FID_224,J215.A,Lowland,693,,
225,2022,Athens,Row 6,Range25,Rep1,A-6-7-1,Fam_57,FID_225,J249.C,Lowland,510,,
226,2022,Athens,Row 6,Range26,Rep1,A-6-7-2,Fam_57,FID_226,J249.C,Lowland,1574,,
227,2022,Athens,Row 6,Range27,Rep1,A-6-7-3,Fam_57,FID_227,J249.C,Lowland,107,,
228,2022,Athens,Row 6,Range28,Rep1,A-6-7-4,Fam_57,FID_228,J249.C,Lowland,1357,,
229,2022,Athens,Row 6,Range29,Rep1,A-6-8-1,Fam_58,FID_229,Rambo4,Unknown,1239,,
230,2022,Athens,Row 6,Range30,Rep1,A-6-8-2,Fam_58,FID_230,Rambo4,Unknown,1516,,
231,2022,Athens,Row 6,Range31,Rep1,A-6-8-3,Fam_58,FID_231,Rambo4,Unknown,519,,
232,2022,Athens,Row 6,Range32,Rep1,A-6-8-4,Fam_58,FID_232,Rambo4,Unknown,1234,,
233,2022,Athens,Row 6,Range33,Rep1,A-6-9-1,Fam_59,FID_233,J317.A,Lowland,1143,,
234,2022,Athens,Row 6,Range34,Rep1,A-6-9-2,Fam_59,FID_234,J317.A,Lowland,1223,,
235,2022,Athens,Row 6,Range35,Rep1,A-6-9-3,Fam_59,FID_235,J317.A,Lowland,1349,,
236,2022,Athens,Row 6,Range36,Rep1,A-6-9-4,Fam_59,FID_236,J317.A,Lowland,384,,
237,2022,Athens,Row 6,Range37,Rep1,A-6-10-1,Fam_60,FID_237,J514.A,Lowland,1357,,
238,2022,Athens,Row 6,Range38,Rep1,A-6-10-2,Fam_60,FID_238,J514.A,Lowland,1528,,
239,2022,Athens,Row 6,Range39,Rep1,A-6-10-3,Fam_60,FID_239,J514.A,Lowland,1045,,
240,2022,Athens,Row 6,Range40,Rep1,A-6-10-4,Fam_60,FID_240,J514.A,Lowland,904,,
241,2022,Athens,Row 7,Range1,Rep1,C-4-6-1,Fam_61,FID_241,J004.B,Lowland,1566,,
242,2022,Athens,Row 7,Range2,Rep1,C-4-6-2,Fam_61,FID_242,J004.B,Lowland,919,,
243,2022,Athens,Row 7,Range3,Rep1,C-4-6-3,Fam_61,FID_243,J004.B,Lowland,1094,,
244,2022,Athens,Row 7,Range4,Rep1,C-4-6-4,Fam_61,FID_244,J004.B,Lowland,2633,,
245,2022,Athens,Row 7,Range5,Rep1,A-7-2-1,Fam_62,FID_245,J004.B,Lowland,1459,,
246,2022,Athens,Row 7,Range6,Rep1,A-7-2-2,Fam_62,FID_246,J004.B,Lowland,1299,,
247,2022,Athens,Row 7,Range7,Rep1,A-7-2-3,Fam_62,FID_247,J004.B,Lowland,442,,
